element_name,element
sake,sake
scene,scene
sedition,sedition
seeking,seeking
seen,seen
sensation,sensation
sent,sent
september,september
served,served
shaken,shaken
shewing,shewing
silence,silence
smallest,smallest
social,social
sooner,sooner
sought,sought
spared,spared
spectacle,spectacle
sphere,sphere
spread,spread
standing,standing
stating,stating
stationing,stationing
step,step
strength,strength
stripped,stripped
subdue,subdue
submission,submission
subscribe,subscribe
substantial,substantial
succeeding,succeeding
suffered,suffered
summoning,summoning
supplied,supplied
suppress,suppress
suppressed,suppressed
surrender,surrender
suspended,suspended
suspension,suspension
sustained,sustained
sway,sway
taxation,taxation
tended,tended
tendered,tendered
tenderness,tenderness
thereby,thereby
thirty,thirty
thousand,thousand
threat,threat
title,title
tone,tone
took,took
trading,trading
transaction,transaction
transmitted,transmitted
treasonable,treasonable
truth,truth
tumult,tumult
turbulent,turbulent
turn,turn
ulterior,ulterior
ultimately,ultimately
unavailing,unavailing
understand,understand
undeterred,undeterred
unerring,unerring
unfinished,unfinished
unfold,unfold
unseasonable,unseasonable
unwilling,unwilling
upholding,upholding
urging,urging
usurpation,usurpation
vengeance,vengeance
verify,verify
vicious,vicious
vigilance,vigilance
visited,visited
waging,waging
warrant,warrant
waste,waste
wayne,wayne
weakened,weakened
wealthy,wealthy
weighted,weighted
west,west
wicked,wicked
withholden,withholden
withstand,withstand
abandoned,abandoned
accelerate,accelerate
accelerating,accelerating
accomplishment,accomplishment
accumulating,accumulating
added,added
adjudged,adjudged
administer,administer
advised,advised
aggravated,aggravated
aggregate,aggregate
agreeable,agreeable
agreed,agreed
algiers,algiers
allow,allow
alloyed,alloyed
amicably,amicably
amity,amity
announces,announces
