Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Great-West Lifeco,https://companiesmarketcap.com/great-west-lifeco,Canada,Insurance,2270000000,31000,27410000000,22540000000,0.0842,13.3,1.35,20390000000,5.3872E+11,7280000000,5.1617E+11
Aditya Birla Capital,https://companiesmarketcap.com/aditya-birla-capital,India,Insurance,460000000,30905,6300000000,3180000000,0.3922,9.7,1.61,3930000000,24800000000,11940000000,21620000000
The Travelers Companies,https://companiesmarketcap.com/the-travelers-companies,USA,Insurance,3740000000,30000,50640000000,24920000000,0.071,23.6,1.22,41360000000,1.2597E+11,8030000000,1.0105E+11
Old Mutual,https://companiesmarketcap.com/old-mutual,South Africa,Insurance,3250000000,29861,2460000000,3230000000,,5.67,0.4338,37430000000,60100000000,940000000,56860000000
Sun Life Financial,https://companiesmarketcap.com/sun-life-financial,Canada,Insurance,3340000000,29169,30070000000,18270000000,0.1211,14.2,1.24,24590000000,2.517E+11,10020000000,2.3342E+11
Vienna Insurance Group,https://companiesmarketcap.com/vienna-insurance-group,Austria,Insurance,570000000,29000,4000000000,6470000000,0.0466,12.9,0.3293,11950000000,52300000000,2430000000,45830000000
Intact Financial,https://companiesmarketcap.com/intact-financial,Canada,Insurance,1350000000,28500,28370000000,12440000000,0.1474,28.3,1.64,17390000000,42280000000,4330000000,29830000000
American International Group,https://companiesmarketcap.com/aig,USA,Insurance,3850000000,26200,50310000000,51300000000,0.2725,12.1,1.07,47230000000,5.393E+11,22380000000,4.88E+11
Sanlam,https://companiesmarketcap.com/sanlam,South Africa,Insurance,1130000000,25661,6940000000,5300000000,,7.57,0.7466,10870000000,54210000000,540000000,48900000000
Aviva,https://companiesmarketcap.com/aviva,UK,Insurance,1830000000,24364,15580000000,12220000000,,10.5,0.3606,42090000000,4.1861E+11,9370000000,4.0639E+11
Talanx,https://companiesmarketcap.com/talanx,Germany,Insurance,3060000000,24000,19060000000,18560000000,0.0702,12.3,1.3,14820000000,1.8722E+11,10060000000,1.6866E+11
